,name,artist,release_date,length,acousticness,danceability,instrumentalness,loudness,liveness,tempo,energy,speechiness,valence,time_signature,popularity
38,Rock That Body,The Black Eyed Peas,2010,269.0,0.15755304715909085,0.72,0.169678918465909,-6.0,0.43,125.0,0.91,0.1,0.84,3.9829545454545454,59
39,Dog Days Are Over,Florence + The Machine,2010,253.0,0.15755304715909085,0.5,0.169678918465909,-5.0,0.12,150.0,0.81,0.09,0.26,3.9829545454545454,58
40,Something's Got A Hold On Me - Burlesque Original Motion Picture Soundtrack,Christina Aguilera,2010,185.0,0.15755304715909085,0.51,0.169678918465909,-4.0,0.12,150.0,0.85,0.27,0.72,3.9829545454545454,58
41,Doesn't Mean Anything,Alicia Keys,2010,273.0,0.15755304715909085,0.71,0.169678918465909,-7.0,0.1,104.0,0.41,0.03,0.1,3.9829545454545454,57
42,Hard,Rihanna,2010,251.0,0.15755304715909085,0.31,0.169678918465909,-4.0,0.65,182.0,0.75,0.11,0.16,3.9829545454545454,57
43,Loca,Shakira,2010,193.0,0.15755304715909085,0.8,0.169678918465909,-4.0,0.09,112.0,0.87,0.07,0.85,3.9829545454545454,56
44,You Lost Me,Christina Aguilera,2010,257.0,0.15755304715909085,0.23,0.169678918465909,-6.0,0.14,43.0,0.39,0.04,0.07,3.9829545454545454,56
45,Not Myself Tonight,Christina Aguilera,2010,186.0,0.15755304715909085,0.76,0.169678918465909,-5.0,0.56,120.0,0.81,0.04,0.54,3.9829545454545454,55
46,Written in the Stars (feat. Eric Turner),Tinie Tempah,2010,220.0,0.00128,0.64,0.13,-4.0,0.18,91.0,0.95,0.07,0.5700000000000001,4.0,52
47,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,2010,221.0,0.0444,0.66,0.0,-3.0,0.08,120.0,0.86,0.11,0.65,4.0,52
48,Castle Walls (feat. Christina Aguilera),T.I.,2010,329.0,0.15755304715909085,0.45,0.169678918465909,-5.0,0.26,80.0,0.86,0.39,0.58,3.9829545454545454,49
49,Break Your Heart,Taio Cruz,2010,186.0,0.15755304715909085,0.67,0.169678918465909,-5.0,0.08,122.0,0.9,0.03,0.63,3.9829545454545454,33
50,Hello,Martin Solveig,2010,191.0,0.15755304715909085,0.67,0.169678918465909,-3.0,0.1,128.0,0.98,0.03,0.45,3.9829545454545454,0
51,A Thousand Years,Christina Perri,2011,285.0,0.15755304715909085,0.42,0.169678918465909,-7.0,0.11,139.0,0.41,0.03,0.16,3.9829545454545454,81
52,Someone Like You,Adele,2011,285.0,0.0144,0.56,0.843,-8.0,0.1,135.0,0.33,0.03,0.28,4.0,80
53,Give Me Everything,Pitbull,2011,252.0,0.15755304715909085,0.67,0.169678918465909,-3.0,0.3,129.0,0.94,0.16,0.53,3.9829545454545454,79
54,Just the Way You Are,Bruno Mars,2011,221.0,0.15755304715909085,0.64,0.169678918465909,-5.0,0.09,109.0,0.84,0.04,0.43,3.9829545454545454,78
55,Rolling in the Deep,Adele,2011,228.0,0.15755304715909085,0.73,0.169678918465909,-5.0,0.05,105.0,0.76,0.03,0.52,3.9829545454545454,76
56,Run the World (Girls),Beyoncé,2011,236.0,0.00496,0.73,4.72e-05,-4.0,0.37,127.0,0.9,0.14,0.76,4.0,76
57,Moves Like Jagger - Studio Recording From The Voice Performance,Maroon 5,2011,201.0,0.15755304715909085,0.72,0.169678918465909,-4.0,0.32,128.0,0.76,0.05,0.62,3.9829545454545454,76
58,Love On Top,Beyoncé,2011,267.0,0.15755304715909085,0.65,0.169678918465909,-5.0,0.6,94.0,0.75,0.09,0.65,3.9829545454545454,76
59,Grenade,Bruno Mars,2011,223.0,0.0176,0.71,0.0,-7.0,0.12,110.0,0.56,0.06,0.23,4.0,75
60,Tonight Tonight,Hot Chelle Rae,2011,200.0,0.15755304715909085,0.6900000000000001,0.169678918465909,-5.0,0.16,100.0,0.78,0.12,0.81,3.9829545454545454,75
61,What the Hell,Avril Lavigne,2011,221.0,0.15755304715909085,0.58,0.169678918465909,-4.0,0.14,150.0,0.93,0.05,0.88,3.9829545454545454,74
62,Born This Way,Lady Gaga,2011,260.0,0.15755304715909085,0.59,0.169678918465909,-5.0,0.33,124.0,0.8300000000000001,0.16,0.49,3.9829545454545454,73
63,Monster,Kanye West,2011,379.0,0.15755304715909085,0.63,0.169678918465909,-6.0,0.67,125.0,0.6900000000000001,0.2,0.1,3.9829545454545454,73
64,Marry You,Bruno Mars,2011,230.0,0.15755304715909085,0.62,0.169678918465909,-5.0,0.1,145.0,0.8300000000000001,0.04,0.48,3.9829545454545454,73
65,Best Thing I Never Had,Beyoncé,2011,254.0,0.15755304715909085,0.55,0.169678918465909,-4.0,0.09,99.0,0.65,0.03,0.3,3.9829545454545454,73
